operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.289253,-99.185478",3750000.0,MXN,3716076.4,197574.31,,107.0,,35046.72897196261,,,,http://miguel-hidalgo-df.properati.com.mx/ptwb_venta_departamento_miguel-hidalgo_cuauhtemoc_0_alejandra-bonifacio-munoz
sell,apartment,|Álvaro Obregón|Distrito Federal|México|,,4609900.0,MXN,4568197.57,242879.42,,130.0,,35460.769230769234,,,,http://san-jeronimo-aculco.properati.com.mx/oc6w_venta_departamento_san-jeronimo-aculco_inventario-inmobiliario-7
sell,house,|Álvaro Obregón|Distrito Federal|México|,,4600000.0,MXN,4558387.05,242357.82,,350.0,,13142.857142857143,,,,http://alvaro-obregon.properati.com.mx/lkyo_venta_casa_alvaro-obregon_carretera-al-desierto-de-los-leones_5909_alejandra-hernandez
sell,apartment,|Cuajimalpa de Morelos|Distrito Federal|México|,"19.3635891,-99.2785151",15500000.0,MXN,15359782.65,816640.49,280.0,,2916.5731785714283,,,3.0,,http://cumbres-reforma.properati.com.mx/kxyp_venta_departamento_cumbres-reforma_livemexico
sell,apartment,|Playa del Carmen|Solidaridad|Quintana Roo|México|,"20.6295586,-87.0738851",139000.0,USD,2614381.5,139000.0,0.0,60.0,,2316.6666666666665,,,,http://playa-del-carmen-centro.properati.com.mx/ln8y_venta_departamento_playa-del-carmen-centro_village-bienes-raices
sell,house,|Benito Juárez|Distrito Federal|México|,"19.399375,-99.149986",4688000.0,MXN,4645590.97,246994.23,,160.0,,29300.0,,,,http://benito-juarez.properati.com.mx/o9qu_venta_casa_benito-juarez_monte-alban_0_gabriela-vega
sell,house,|Iztapalapa|Distrito Federal|México|,,3300000.0,MXN,3270147.18,173865.39,,200.0,,16500.0,,,,http://casa-blanca.properati.com.mx/ii3g_venta_casa_casa-blanca
sell,apartment,|Álvaro Obregón|Distrito Federal|México|,"19.3605334,-99.2267067",13000000.0,MXN,12882398.32,684924.28,0.0,227.0,,57268.72246696035,,,,http://alvaro-obregon.properati.com.mx/g5hw_venta_departamento_alvaro-obregon
sell,house,|Álvaro Obregón|Distrito Federal|México|,"19.357402,-99.181898",33000000.0,MXN,32701473.0,1738653.96,,707.0,,46676.09618104668,,,,http://florida.properati.com.mx/p24c_venta_casa_florida_lilia-nelly-garcia-de-funes
sell,house,|Xochimilco|Distrito Federal|México|,"19.281635,-99.132405",4454000.0,MXN,4413707.74,234665.59,,320.0,,13918.75,,,,http://xochimilco.properati.com.mx/o9np_venta_casa_xochimilco_rincon-la-laguna_0_ing-sanchez
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.436847,-99.140049",1180000.0,MXN,1169325.38,62170.05,,80.0,,14750.0,,,,http://cuauhtemoc.properati.com.mx/m5rl_venta_departamento_cuauhtemoc_donceles_0_santiago-luna
sell,house,|Coyoacán|Distrito Federal|México|,"19.347521,-99.169009",6688666.0,MXN,6628158.47,352402.29,,110.0,,60806.05454545454,,,,http://villa-coyoacan.properati.com.mx/nics_venta_casa_villa-coyoacan_prol-ayuntamiento_0_ivan-andres
sell,apartment,|Tlalpan|Distrito Federal|México|,"19.287188,-99.170525",1300000.0,MXN,1288239.68,68492.42,,50.0,,26000.0,,,,http://miguel-hidalgo-tlalpan.properati.com.mx/plcl_venta_departamento_miguel-hidalgo_inventario-inmobiliario-7
